"","Assumptions","Estimator","list_treatment","list","outcome","term","estimate","std.error","statistic","p.value","conf.low","conf.high","df","boot_se","boot_ci_lo","boot_ci_hi","boot_ci_which"
"34","List","Single list","Offer Work","count_a","count_lo","Z",-0.018531385985733,0.0839621439910855,-0.220711205131929,0.825384445474891,-0.183391533326049,0.146328761354583,671,0.0815415167624251,-0.178352758840086,0.14128998686862,0.14128998686862
"35","List","Single list","Offer Work","count_b","count_hi","Z",0.892441426438499,0.0931773977297018,9.57787455094401,1.87345610186408e-20,0.70948707596197,1.07539577691503,671,0.090449584092128,0.715160241617928,1.06972261125907,0.715160241617928
"36","List","Single list","Offer Work","count_b","count_lo","Z",-0.0343014241414955,0.0874904742110178,-0.392058957855961,0.695139142143499,-0.206089467939352,0.137486619656361,671,0.0849008730279874,-0.200707135276351,0.13210428699336,0.13210428699336
"37","List","Single list","Threaten","count_a","count_hi","Z",1.00336119239742,0.0853990679048656,11.7490883333196,4.29081887467457e-29,0.835676902945181,1.17104548184966,665,0.0828333711051736,0.841007785031282,1.16571459976356,0.841007785031282
"38","List","Single list","Threaten","count_a","count_lo","Z",0.0578238493057926,0.0806994261909981,0.716533586855203,0.473913495649477,-0.100632516460584,0.216280215072169,665,0.0788714616807529,-0.096764215588483,0.212411914200068,0.212411914200068
"39","List","Single list","Threaten","count_b","count_hi","Z",0.949565257177684,0.0881278130679666,10.7748646439842,4.61655053112633e-25,0.776522973721568,1.1226075406338,665,0.0873604214551504,0.77833883112559,1.12079168322978,0.77833883112559
"40","List","Single list","Threaten","count_b","count_lo","Z",0.0173613627173961,0.082131279107554,0.211385514825122,0.832651222483366,-0.143906500232771,0.178629225667563,665,0.0812982582930686,-0.141983223537018,0.17670594897181,0.17670594897181
"41","List","DLE","Donation",NA,"count_hi","Z",0.923602439509926,0.0497970342285185,18.5473382866842,3.6889160332907e-62,0.825823273331339,1.02138160568851,661.984622786901,0.0496839313102803,0.826221934141777,1.02098294487808,0.826221934141777
"42","List","DLE","Donation",NA,"count_lo","Z",0.00513057169227428,0.0467519863576317,0.109740186289149,0.912648687028162,-0.0866694785328841,0.0969306219174327,661.984622786901,0.0471073137973889,-0.087199763350608,0.0974609067351566,0.0974609067351566
"43","List","DLE","Evict",NA,"count_hi","Z",0.922209091408784,0.0489295658764172,18.8476859520486,1.121773115848e-63,0.826131979750884,1.01828620306668,657.254601099875,0.0494804170695012,0.825227473952562,1.01919070886501,0.825227473952562
"44","List","DLE","Evict",NA,"count_lo","Z",-0.0112589091042342,0.0464733348746715,-0.24226600338876,0.808649629452596,-0.10251301495807,0.0799951967496019,657.254601099875,0.0472116035435258,-0.103793652049545,0.0812758338410764,0.0812758338410764
"45","List","DLE","Offer Work",NA,"count_hi","Z",0.914286720738334,0.0490674250914569,18.6332728696114,8.87298604564185e-63,0.817942713251594,1.01063072822507,671.620337986995,0.0480306381609397,0.820146669942893,1.00842677153378,0.820146669942893
"46","List","DLE","Offer Work",NA,"count_lo","Z",-0.0265338652435427,0.0469946235592833,-0.564614911960523,0.572524238485667,-0.118807921923571,0.0657401914364853,671.620337986995,0.0462689614419617,-0.117221029669787,0.0641532991827022,0.0641532991827022
"47","List","DLE","Threaten",NA,"count_hi","Z",0.97464131994261,0.0514192184288774,18.9548061935388,2.17532328782272e-64,0.873677784355111,1.07560485553011,665.138558265466,0.0515388666837212,0.873625141242517,1.0756574986427,0.873625141242517
"48","List","DLE","Threaten",NA,"count_lo","Z",0.0361190817790531,0.0482555210996179,0.748496357639357,0.454425405814549,-0.0586324171876913,0.130870580745798,665.138558265466,0.0484229778697334,-0.0587899548456244,0.131028118403731,0.131028118403731
