"","discrete","estimator","p","list_treatment","list","term","estimate_comb_hi","estimate_comb_lo","outcome","boot_se_hi","boot_se_lo","boot_ci_comb_hi_lo","boot_ci_comb_hi_hi","boot_ci_comb_lo_lo","boot_ci_comb_lo_hi"
"34","3","DLE",0.2,"Evict","DLE","Z",0.153691434504514,0.0243859189860071,"count_lo",0.0486736795295738,0.0459908825012961,0.0582910226265497,0.249091846382479,-0.0657562107165332,0.114528048688547
"35","3","DLE",0.2,"Offer Work","DLE","Z",0.228657016508877,0.101731717445112,"count_lo",0.045502911851575,0.0435065312993954,0.13947130927979,0.317842723737964,0.0164589160982969,0.187004518791927
"36","3","DLE",0.2,"Threaten","DLE","Z",0.257527930973137,0.137353495819249,"count_lo",0.0474656689302641,0.0453853184770559,0.164495219869819,0.350560642076454,0.0483982716042199,0.226308720034279
"37","4","List",0.3,"Donation","count_a","Z",0.199569615390911,0.0404596359915548,"count_lo",0.0846013459390914,0.0775407546351252,0.0337509773502922,0.365388253431531,-0.111520243093291,0.1924395150764
"38","4","List",0.3,"Evict","count_a","Z",0.288227610611146,0.0644971455821192,"count_lo",0.087778502390375,0.0826365881835323,0.116181745926011,0.460273475296281,-0.0974705672576041,0.226464858421842
"39","4","List",0.3,"Offer Work","count_a","Z",0.337522600172326,0.11439982760093,"count_lo",0.0814774974469754,0.0775764421219207,0.177826705176254,0.497218495168398,-0.0376499989580343,0.266449654159895
"40","4","List",0.3,"Threaten","count_a","Z",0.391302434080044,0.179586891270533,"count_lo",0.0806011167274599,0.0769236591436764,0.233324245294223,0.549280622865865,0.0288165193489268,0.330357263192138
"41","4","List",0.3,"Donation","count_b","Z",0.500267750507,0.299339441614895,"count_lo",0.0847414608805426,0.0817166997155271,0.334174487181136,0.666361013832863,0.139174710172461,0.459504173057328
"42","4","List",0.3,"Evict","count_b","Z",0.205541623362287,-0.0167202481052132,"count_lo",0.089245249364462,0.0843683416322371,0.030620934607941,0.380462312116632,-0.182082197704398,0.148641701493972
"43","4","List",0.3,"Offer Work","count_b","Z",0.293395388625314,0.0880857448380993,"count_lo",0.085762029438213,0.0810063585445097,0.125301810926417,0.461488966324212,-0.0706867179091398,0.246858207585338
"44","4","List",0.3,"Threaten","count_b","Z",0.295380364001442,0.0973533261149592,"count_lo",0.0789065708745954,0.0734101552892876,0.140723485087235,0.450037242915649,-0.0465305782520444,0.241237230481963
"45","4","DLE",0.3,"Donation","DLE","Z",0.350158215246278,0.170422757115516,"count_lo",0.0437807885623354,0.0415964495771913,0.2643478696641,0.435968560828455,0.0888937159442213,0.251951798286811
"46","4","DLE",0.3,"Evict","DLE","Z",0.247468342527998,0.0243859189860071,"count_lo",0.0474123645641135,0.0453276341636659,0.154540107982335,0.34039657707366,-0.0644562439747781,0.113228081946792
"47","4","DLE",0.3,"Offer Work","DLE","Z",0.316093415726098,0.101731717445112,"count_lo",0.0444698912408317,0.0430051152540191,0.228932428894068,0.403254402558129,0.0174416915472344,0.186021743342989
"48","4","DLE",0.3,"Threaten","DLE","Z",0.341950631560221,0.137353495819249,"count_lo",0.0454103105601565,0.0432821555226956,0.252946422862314,0.430954840258127,0.052520470994766,0.222186520643733
